x,y,light
5.9263001420611126,-9.802801478396953,36.9
5.925734103082772,-9.80299713484331,37.2
5.925197974721277,-9.80317744707251,36.9
5.924689777077638,-9.803342415084561,36.6
5.924208923253229,-9.803492159087613,36.9
5.923753426277989,-9.803627379117382,36.6
5.922890119608841,-9.804132182648468,36.9
5.922066156360994,-9.804612265726488,36.6
5.921280907209419,-9.805067847554538,36.9
5.920531352808159,-9.805499727163284,36.9
5.919816962827126,-9.805908505593486,36.9
5.919136584682267,-9.806295858688221,36.9
5.918488733449344,-9.80666199857952,37.2
5.917872702021574,-9.807006642424671,36.9
5.9172870973986,-9.807330094279589,36.6
5.916731962006825,-9.807633103677462,36.9
5.916205909916961,-9.807918244486975,36.6
5.9157076824789385,-9.808186803642469,36.6
5.915237739312161,-9.80843938218471,36.6
5.914793393410863,-9.808675980113696,36.9
5.914373513404194,-9.808896031744002,36.9
5.913977837662646,-9.8090999825529,36.9
5.913604704485282,-9.809288009317083,36.6
5.913253244130761,-9.809460373666065,36.9
5.9129233081066594,-9.80961805847827,36.6
5.912613574123295,-9.809761579941648,36.6
5.911701264954209,-9.810225866254175,36.6
5.910831544826553,-9.810669809104608,36.6
5.909999421566452,-9.811092517538402,36.9
5.909202582934733,-9.811494083479436,36.9
5.908439261164443,-9.811875001902463,36.6
5.907707829909983,-9.81223590920358,36.9
5.907009611461035,-9.812576854880264,36.9
5.906342717842495,-9.812899486491316,36.9
5.905705254008188,-9.813206010209893,36.9
5.905096979541807,-9.813494912827483,36.9
5.904518177286068,-9.813767891400358,36.9
5.9039669521947955,-9.814023616567773,36.6
5.903440864749592,-9.814264315716093,36.6
5.902940091727155,-9.81449101415014,36.9
5.902462441096463,-9.81470335831653,36.6
5.902007325958889,-9.814901044159345,36.9
5.901574527111328,-9.815083569632773,36.9
5.9011638112085425,-9.815252115605137,36.9
5.900774789341805,-9.815407424538558,36.9
5.90040483107389,-9.815550542951069,36.6
5.899371748066574,-9.815970140115025,36.6
5.898377817561736,-9.816368927126412,36.9
5.897420204061177,-9.816747179756872,36.9
5.896498136818511,-9.817106107159002,36.9
5.895609939990663,-9.817446154810074,37.2
5.8947551468871575,-9.817767845969108,36.9
5.89392851077568,-9.818072015022103,36.9
5.893139337181469,-9.818359906476994,36.6
5.892381120722138,-9.818632086019209,36.6
5.891651485518902,-9.818887450562167,36.6
5.890949611327897,-9.819126028390139,36.9
5.89027485468195,-9.819350287305792,36.9
5.889627010520093,-9.819561153619011,36.9
5.889004735339446,-9.819758415197757,36.9
5.888408290769516,-9.819941485143406,36.6
5.887836290881011,-9.82011180595379,36.6
5.887287413384249,-9.820269752395506,36.6
5.8867602157814,-9.820415720448347,36.6
5.886255044554786,-9.820550339437347,36.6
5.885771765354115,-9.820673475012224,36.6
5.8848804431142945,-9.821107270880345,36.9
5.88402318927919,-9.821520405088323,36.9
5.8831978330309855,-9.821914100930883,36.9
5.882404395582885,-9.822288379621233,36.6
5.881641328371035,-9.822642682545014,36.9
5.880907464669249,-9.822978671403161,36.9
5.8802017579594885,-9.823298269526124,36.9
5.8795229071652795,-9.823601731472337,36.6
5.878871216342533,-9.823889219876364,36.6
5.878245568262541,-9.824161031723053,36.9
5.877643445625157,-9.824419033774305,36.9
5.8770642049632125,-9.824663289669727,36.9
5.876501828797999,-9.82489372162758,36.9
5.875968988483036,-9.82511182871424,36.9
5.875457538148202,-9.825316394706036,36.6
5.874967004031959,-9.825508642897706,36.9
5.874496884088485,-9.825689768299707,36.9
5.8740451418502575,-9.825859714343496,36.9
