delays_time,delays
2021-09-04 10:59:58.445664,5.886864
2021-09-04 10:59:58.453794,7.634994
2021-09-04 10:59:58.463189,7.992389
2021-09-04 10:59:58.471230,8.69643
2021-09-04 10:59:58.478804,0.526004
2021-09-04 10:59:58.487456,3.989344
2021-09-04 10:59:58.499316,7.680516
2021-09-04 10:59:58.504629,9.251829
2021-09-04 10:59:58.512738,9.781938
2021-09-04 10:59:58.521146,7.528346
2021-09-04 10:59:58.529952,9.103152
2021-09-04 10:59:58.538118,4.413318
2021-09-04 10:59:58.546517,9.815717
2021-09-04 10:59:58.553891,7.735091
2021-09-04 10:59:58.562682,0.609882
2021-09-04 10:59:58.571231,7.752431
2021-09-04 10:59:58.579155,0.626355
2021-09-04 10:59:58.587172,8.812372
2021-09-04 10:59:58.595807,8.125007
2021-09-04 10:59:58.604351,4.479551
2021-09-04 10:59:58.611975,7.967175
2021-09-04 10:59:58.620240,9.88944
2021-09-04 10:59:58.629532,10.072732
2021-09-04 10:59:58.637246,4.164446
2021-09-04 10:59:58.645378,7.826578
2021-09-04 10:59:58.654496,7.835696
2021-09-04 10:59:58.662596,4.363796
2021-09-04 10:59:58.672546,4.199746
2021-09-04 10:59:58.679789,8.208989
2021-09-04 10:59:58.688271,9.261471
2021-09-04 10:59:58.695586,7.702786
2021-09-04 10:59:58.704271,9.625471
2021-09-04 10:59:58.711936,9.633136
2021-09-04 10:59:58.720980,9.46818
2021-09-04 10:59:58.729039,8.954239
2021-09-04 10:59:58.737788,4.264988
2021-09-04 10:59:58.747099,8.972299
2021-09-04 10:59:58.762509,4.289709
2021-09-04 10:59:58.770758,8.995958
2021-09-04 10:59:58.778626,9.003826
2021-09-04 10:59:58.787263,9.360463
2021-09-04 10:59:58.795661,9.542861
2021-09-04 10:59:58.804081,9.029281
2021-09-04 10:59:58.812606,9.733806
2021-09-04 10:59:58.821046,4.696246
2021-09-04 10:59:58.829181,10.098381
2021-09-04 10:59:58.838155,8.367355
2021-09-04 10:59:58.846443,7.853643
2021-09-04 10:59:58.854426,4.381626
2021-09-04 10:59:58.862365,10.305565
2021-09-04 10:59:58.879783,8.060983
2021-09-04 10:59:58.888611,9.113811
2021-09-04 10:59:58.895601,8.424801
2021-09-04 10:59:58.904980,4.78018
2021-09-04 10:59:58.912350,7.91955
2021-09-04 10:59:58.920671,10.189871
2021-09-04 10:59:58.929200,8.1104
2021-09-04 10:59:58.937266,9.510466
2021-09-04 10:59:58.945784,4.472984
2021-09-04 10:59:58.954697,9.701897
2021-09-04 10:59:58.966436,9.191636
2021-09-04 10:59:58.972578,8.501778
2021-09-04 10:59:58.979485,9.552685
2021-09-04 10:59:58.987498,0.512698
2021-09-04 10:59:58.995672,9.916872
2021-09-04 10:59:59.004294,0.529494
2021-09-04 10:59:59.012824,9.586024
2021-09-04 10:59:59.021515,9.768715
2021-09-04 10:59:59.037798,10.480998
2021-09-04 10:59:59.039907,9.613107
2021-09-04 10:59:59.045295,4.572495
2021-09-04 10:59:59.053763,8.234963
2021-09-04 10:59:59.062353,4.937553
2021-09-04 10:59:59.079123,8.086323
2021-09-04 10:59:59.088227,10.357427
2021-09-04 10:59:59.095552,8.276752
2021-09-04 10:59:59.104735,8.285935
2021-09-04 10:59:59.114082,9.861282
2021-09-04 10:59:59.120791,9.345991
2021-09-04 10:59:59.129732,9.702932
2021-09-04 10:59:59.138419,8.145619
2021-09-04 10:59:59.145358,0.670558
2021-09-04 10:59:59.154055,10.423255
2021-09-04 10:59:59.162477,9.735677
2021-09-04 10:59:59.171754,8.700954
2021-09-04 10:59:59.178745,10.099945
2021-09-04 10:59:59.187444,9.412644
2021-09-04 10:59:59.195869,4.723069
2021-09-04 10:59:59.204587,9.951787
2021-09-04 10:59:59.212252,8.393452
2021-09-04 10:59:59.220462,0.745662
2021-09-04 10:59:59.229171,9.802371
2021-09-04 10:59:59.237444,9.984644
2021-09-04 10:59:59.245610,9.99281
2021-09-04 10:59:59.257083,5.132283
2021-09-04 10:59:59.263003,10.010203
2021-09-04 10:59:59.271101,10.192301
2021-09-04 10:59:59.279132,8.634332
2021-09-04 10:59:59.287077,0.812277
2021-09-04 10:59:59.305441,10.226641
2021-09-04 10:59:59.312202,9.885402
2021-09-04 10:59:59.324306,9.549506
2021-09-04 10:59:59.341264,9.566464
2021-09-04 10:59:59.345536,8.526736
2021-09-04 10:59:59.354254,10.623454
2021-09-04 10:59:59.362123,9.935323
2021-09-04 10:59:59.370910,8.20411
2021-09-04 10:59:59.379096,8.734296
2021-09-04 10:59:59.389332,0.914532
2021-09-04 10:59:59.396126,10.317326
2021-09-04 10:59:59.403840,10.32504
2021-09-04 10:59:59.413210,8.94241
2021-09-04 10:59:59.420497,9.993697
2021-09-04 10:59:59.429647,8.958847
2021-09-04 10:59:59.437392,10.706592
2021-09-04 10:59:59.446109,5.321309
2021-09-04 10:59:59.453994,5.329194
2021-09-04 10:59:59.462792,8.295992
2021-09-04 10:59:59.470773,10.217973
2021-09-04 10:59:59.487366,10.408566
2021-09-04 10:59:59.496017,10.069217
2021-09-04 10:59:59.504171,10.773371
2021-09-04 10:59:59.511945,10.781145
2021-09-04 10:59:59.522113,5.397313
2021-09-04 10:59:59.529124,10.798324
2021-09-04 10:59:59.537823,10.807023
2021-09-04 10:59:59.546037,10.467237
2021-09-04 10:59:59.554734,9.083934
2021-09-04 10:59:59.564929,10.138129
2021-09-04 10:59:59.571975,10.145175
2021-09-04 10:59:59.578623,5.453823
2021-09-04 10:59:59.596860,10.86606
2021-09-04 10:59:59.605014,9.134214
2021-09-04 10:59:59.612246,10.185446
2021-09-04 10:59:59.621830,5.14903
2021-09-04 10:59:59.634637,10.207837
2021-09-04 10:59:59.637535,1.684735
2021-09-04 10:59:59.645415,10.392615
2021-09-04 10:59:59.654138,1.179338
2021-09-04 10:59:59.663117,9.018317
2021-09-04 10:59:59.669996,7.111196
2021-09-04 10:59:59.679784,7.120984
2021-09-04 10:59:59.687323,8.520523
2021-09-04 10:59:59.696202,5.571402
2021-09-04 10:59:59.707777,9.236977
2021-09-04 10:59:59.713346,11.156546
2021-09-04 10:59:59.721539,9.946739
2021-09-04 10:59:59.729697,9.954897
